,0,1,2,3
14813,gla,0.0,1.0,0.5423
14833,scare,1.0,0.0,-0.4939
14866,dwell,0.0,1.0,0.128
14998,beautiful,0.0,1.0,0.5994
15076,worn,1.0,0.0,-0.296
15264,suspect,1.0,0.0,-0.296
15301,robust,0.0,1.0,0.34
15374,weird,1.0,0.0,-0.1779
15512,lurk,1.0,0.0,-0.2023
15557,ff,0.0,1.0,0.4215
15560,beauty,0.0,1.0,0.5859
15731,diamond,0.0,1.0,0.34
15740,yep,0.0,1.0,0.296
15776,anti,1.0,0.0,-0.3182
16425,torn,1.0,0.0,-0.25
16973,grander,0.0,1.0,0.4019
17035,mooch,1.0,0.0,-0.4019
17083,fame,0.0,1.0,0.4404
17338,laughter,0.0,1.0,0.4939
17703,adopt,0.0,1.0,0.1779
17830,delicatessen,0.0,1.0,0.1027
17898,prevent,0.0,1.0,0.0258
18528,drag,1.0,0.0,-0.2263
18845,abandon,1.0,0.0,-0.4404
19089,tough,1.0,0.0,-0.128
19234,daze,1.0,0.0,-0.1779
19262,optimist,0.0,1.0,0.5267
19841,alright,0.0,1.0,0.25
19981,disrespect,1.0,0.0,-0.4215
19982,grief,1.0,0.0,-0.4939
20031,loyal,0.0,1.0,0.4767
20077,fought,1.0,0.0,-0.3182
20185,broke,1.0,0.0,-0.4215
20377,strain,1.0,0.0,-0.0516
20551,blind,1.0,0.0,-0.4019
20752,argument,1.0,0.0,-0.3612
20772,easiest,0.0,1.0,0.4215
20820,deject,1.0,0.0,-0.4939
20822,scoop,0.0,1.0,0.1531
20864,mock,1.0,0.0,-0.4215
20879,fume,1.0,0.0,-0.296
20941,punish,1.0,0.0,-0.5267
21113,prettier,0.0,1.0,0.4767
21271,lowest,1.0,0.0,-0.3818
21458,trivial,1.0,0.0,-0.0258
21859,calmer,0.0,1.0,0.3612
22045,cuter,0.0,1.0,0.5106
22395,tenderloin,1.0,0.0,-0.0516
22566,xoxo,0.0,1.0,0.6124
22576,friendless,1.0,0.0,-0.3612
22592,glamor,0.0,1.0,0.4767
22776,risk,1.0,0.0,-0.2732
22946,hak,0.0,1.0,0.4404
23066,scream,1.0,0.0,-0.4019
23179,careful,0.0,1.0,0.1531
23254,upset,1.0,0.0,-0.3818
23356,dishonest,1.0,0.0,-0.5719
23429,racist,1.0,0.0,-0.6124
23439,contend,0.0,1.0,0.0516
23539,woeful,1.0,0.0,-0.4404
23676,scold,1.0,0.0,-0.4019
23677,unkind,1.0,0.0,-0.3818
23834,neglect,1.0,0.0,-0.4588
23843,disappear,1.0,0.0,-0.2263
23923,merit,0.0,1.0,0.4215
23924,protest,1.0,0.0,-0.25
23971,dire,1.0,0.0,-0.4588
24001,glamour,0.0,1.0,0.5267
24015,lame,1.0,0.0,-0.4215
24073,violent,1.0,0.0,-0.5994
24305,rob,1.0,0.0,-0.5574
24342,adorn,0.0,1.0,0.2263
24345,sigh,0.0,1.0,0.0258
24575,amazing,0.0,1.0,0.5859
24659,profit,0.0,1.0,0.4404
24666,creation,0.0,1.0,0.2732
24806,alarm,1.0,0.0,-0.34
24898,horror,1.0,0.0,-0.5719
24976,applaud,0.0,1.0,0.4588
25362,cynic,1.0,0.0,-0.34
25554,shake,1.0,0.0,-0.1779
25624,misunderstood,1.0,0.0,-0.34
25671,unfair,1.0,0.0,-0.4767
26050,perfecto,0.0,1.0,0.3182
26126,weirdest,1.0,0.0,-0.2263
26261,perfectionist,0.0,1.0,0.3612
26443,attack,1.0,0.0,-0.4767
27553,fyi,0.0,1.0,0.2023
27686,affection,0.0,1.0,0.5267
27785,thriller,0.0,1.0,0.1027
27786,charmer,0.0,1.0,0.4404
27794,doom,1.0,0.0,-0.4019
27989,war,1.0,0.0,-0.5994
28156,turmoil,1.0,0.0,-0.3612
28434,freak,1.0,0.0,-0.4404
28550,confront,1.0,0.0,-0.1779
28551,pretend,1.0,0.0,-0.1027
28662,yeah,0.0,1.0,0.296
28854,pardon,0.0,1.0,0.3182
28856,flop,1.0,0.0,-0.34
29115,disregard,1.0,0.0,-0.2732
29128,slam,1.0,0.0,-0.3818
29147,defer,1.0,0.0,-0.296
29270,crap,1.0,0.0,-0.3818
29452,stronger,0.0,1.0,0.3818
29614,fraud,1.0,0.0,-0.5859
29799,beautician,0.0,1.0,0.296
30041,bias,1.0,0.0,-0.1027
30617,reward,0.0,1.0,0.5719
30918,prettiest,0.0,1.0,0.5719
30999,passionless,1.0,0.0,-0.4404
31169,drown,1.0,0.0,-0.5719
31252,friendly,0.0,1.0,0.4939
31840,richer,0.0,1.0,0.5267
32524,winner,0.0,1.0,0.5859
32684,fave,0.0,1.0,0.4404
32859,legal,0.0,1.0,0.128
32928,nervous,1.0,0.0,-0.2732
32985,dishearten,1.0,0.0,-0.4588
33071,puke,1.0,0.0,-0.5267
33295,fake,1.0,0.0,-0.4767
33817,grant,0.0,1.0,0.3612
33994,delightful,0.0,1.0,0.5859
34391,vision,0.0,1.0,0.25
34616,enthral,0.0,1.0,0.1027
34695,peculiar,0.0,1.0,0.1531
34932,vital,0.0,1.0,0.296
35532,beaut,0.0,1.0,0.3818
35643,livelihood,0.0,1.0,0.2023
36064,dumbfound,1.0,0.0,-0.0258
36318,sore,1.0,0.0,-0.3612
36580,sunniest,0.0,1.0,0.5267
37309,swear,1.0,0.0,-0.0516
37530,prison,1.0,0.0,-0.5106
38754,cheat,1.0,0.0,-0.4588
39463,gun,1.0,0.0,-0.34
39599,kinder,0.0,1.0,0.4939
40220,selfish,1.0,0.0,-0.4767
40253,gravel,1.0,0.0,-0.128
40648,loss,1.0,0.0,-0.3182
41278,safeguard,0.0,1.0,0.3818
42848,woe,1.0,0.0,-0.4215
42856,annoy,1.0,0.0,-0.4404
43013,restful,0.0,1.0,0.3612
43178,wth,1.0,0.0,-0.5267
43201,fallen,1.0,0.0,-0.3612
44465,calmest,0.0,1.0,0.3818
44685,hail,0.0,1.0,0.0772
45684,threat,1.0,0.0,-0.5267
46799,steal,1.0,0.0,-0.4939
46810,misunderstand,1.0,0.0,-0.3612
46896,brighten,0.0,1.0,0.4404
46919,useful,0.0,1.0,0.4404
47046,riot,1.0,0.0,-0.5574
47379,restless,1.0,0.0,-0.2732
47642,dupe,1.0,0.0,-0.3612
48152,bold,0.0,1.0,0.3818
48160,cock,1.0,0.0,-0.1531
48775,distress,1.0,0.0,-0.5267
48802,unclear,1.0,0.0,-0.25
49084,damn,1.0,0.0,-0.4019
49367,debt,1.0,0.0,-0.3612
49583,forbidden,1.0,0.0,-0.4215
49631,grin,0.0,1.0,0.4767
49888,killer,1.0,0.0,-0.6486
50114,slash,1.0,0.0,-0.2732
50263,hero,0.0,1.0,0.5574
52631,suck,1.0,0.0,-0.4404
53402,bomb,1.0,0.0,-0.4939
53641,stink,1.0,0.0,-0.4019
53729,flatter,0.0,1.0,0.1027
54505,useless,1.0,0.0,-0.4215
54942,snobbish,1.0,0.0,-0.2263
55224,relentless,0.0,1.0,0.0516
55500,strongest,0.0,1.0,0.4404
55597,uncertain,1.0,0.0,-0.296
56466,inhibit,1.0,0.0,-0.3818
56760,devil,1.0,0.0,-0.6597
57664,fav,0.0,1.0,0.4588
58013,harsh,1.0,0.0,-0.4404
58921,loom,1.0,0.0,-0.2263
58933,tension,1.0,0.0,-0.3182
59357,earnest,0.0,1.0,0.5106
60588,miser,1.0,0.0,-0.4215
60796,hid,1.0,0.0,-0.1027
61145,dearer,0.0,1.0,0.4404
61821,conflict,1.0,0.0,-0.3182
62104,stressless,0.0,1.0,0.3818
62420,combat,1.0,0.0,-0.34
63032,offend,1.0,0.0,-0.296
63419,bff,0.0,1.0,0.5994
63581,mistaken,1.0,0.0,-0.3612
64547,gentler,0.0,1.0,0.34
65353,spark,0.0,1.0,0.2263
65496,smother,1.0,0.0,-0.4215
65587,fright,1.0,0.0,-0.3818
66312,joyful,0.0,1.0,0.5994
66322,excellent,0.0,1.0,0.5719
66476,tantrum,1.0,0.0,-0.4215
66898,funniest,0.0,1.0,0.5574
67971,forbid,1.0,0.0,-0.3182
68238,dismal,1.0,0.0,-0.6124
68254,rotten,1.0,0.0,-0.5106
68428,fag,1.0,0.0,-0.4767
68502,intact,0.0,1.0,0.2023
68560,happiest,0.0,1.0,0.6369
69848,gross,1.0,0.0,-0.4767
70043,clueless,1.0,0.0,-0.3612
70428,hardship,1.0,0.0,-0.3182
70515,jerk,1.0,0.0,-0.34
70524,exempt,0.0,1.0,0.1027
71191,blissful,0.0,1.0,0.5994
71325,poorer,1.0,0.0,-0.3612
72317,fighter,0.0,1.0,0.1531
72352,mia,1.0,0.0,-0.296
72391,trustful,0.0,1.0,0.4767
72545,cutest,0.0,1.0,0.5859
75277,nh,0.0,1.0,0.4939
75330,dilemma,1.0,0.0,-0.1779
75603,lowdown,1.0,0.0,-0.2023
75663,heron,0.0,1.0,0.0258
77040,safest,0.0,1.0,0.4019
77270,agreement,0.0,1.0,0.4939
77418,wanker,1.0,0.0,-0.5423
78158,meh,1.0,0.0,-0.0772
78529,verdict,0.0,1.0,0.1531
78887,prospect,0.0,1.0,0.296
78994,aboard,0.0,1.0,0.0258
79392,defeat,1.0,0.0,-0.4588
79595,tia,0.0,1.0,0.5106
79713,freewheel,0.0,1.0,0.128
79861,toughest,1.0,0.0,-0.0772
80068,phobia,1.0,0.0,-0.3818
80364,brisk,0.0,1.0,0.1531
80398,discomfort,1.0,0.0,-0.4215
80544,dreadful,1.0,0.0,-0.4404
80803,stressful,1.0,0.0,-0.5106
80816,bummer,1.0,0.0,-0.3818
81360,liar,1.0,0.0,-0.5106
81819,horrid,1.0,0.0,-0.5423
82119,uptight,1.0,0.0,-0.3818
82283,piss,1.0,0.0,-0.4019
82812,depress,1.0,0.0,-0.4939
84013,play,0.0,1.0,0.34
85384,fantastico,0.0,1.0,0.1027
89278,anger,1.0,0.0,-0.5719
89541,frighten,1.0,0.0,-0.34
89730,funnel,0.0,1.0,0.0258
90091,crime,1.0,0.0,-0.5423
90399,crazy,1.0,0.0,-0.34
91406,harm,1.0,0.0,-0.5423
91808,hopeless,1.0,0.0,-0.4588
91859,hahaha,0.0,1.0,0.5574
93718,trauma,1.0,0.0,-0.4215
93811,worship,0.0,1.0,0.296
93920,cheerful,0.0,1.0,0.5423
94481,reek,1.0,0.0,-0.5267
94765,forgiven,0.0,1.0,0.3818
97880,prize,0.0,1.0,0.5106
99390,darkest,1.0,0.0,-0.4939
99924,sunnier,0.0,1.0,0.5106
99955,truest,0.0,1.0,0.4404
101098,arrest,1.0,0.0,-0.34
101227,expel,1.0,0.0,-0.4404
101705,foolproof,0.0,1.0,0.3818
101902,truer,0.0,1.0,0.3612
102394,fiesta,0.0,1.0,0.4767
102769,sorrow,1.0,0.0,-0.5267
103260,weapon,1.0,0.0,-0.296
103917,foolish,1.0,0.0,-0.2732
104098,sullen,1.0,0.0,-0.4019
104568,loser,1.0,0.0,-0.5267
106819,charmless,1.0,0.0,-0.4215
108733,jj,0.0,1.0,0.25
108854,warmish,0.0,1.0,0.34
108883,iou,0.0,1.0,0.1779
108989,hunger,1.0,0.0,-0.25
109674,buoyant,0.0,1.0,0.2263
110806,harshest,1.0,0.0,-0.5994
110967,despair,1.0,0.0,-0.3182
111506,whine,1.0,0.0,-0.3612
113203,timid,1.0,0.0,-0.25
113918,grim,1.0,0.0,-0.5719
114461,rudest,1.0,0.0,-0.5423
116722,trickster,1.0,0.0,-0.2263
117104,misread,1.0,0.0,-0.2732
117688,idealist,0.0,1.0,0.3818
117910,beautifulest,0.0,1.0,0.5574
119080,freeman,0.0,1.0,0.4019
120367,vigour,0.0,1.0,0.2263
120823,jp,0.0,1.0,0.2023
121026,goddamn,1.0,0.0,-0.4767
121683,jk,0.0,1.0,0.2263
121959,opportunist,0.0,1.0,0.0516
122097,shook,1.0,0.0,-0.1027
123722,po,1.0,0.0,-0.5574
124216,deadlock,1.0,0.0,-0.34
125445,villain,1.0,0.0,-0.5574
129706,dud,1.0,0.0,-0.25
130716,terror,1.0,0.0,-0.5267
130837,anxious,1.0,0.0,-0.25
131014,grime,1.0,0.0,-0.3612
131307,reliant,0.0,1.0,0.128
133100,disdain,1.0,0.0,-0.4767
133457,grouch,1.0,0.0,-0.4939
133936,livid,1.0,0.0,-0.5423
134365,choke,1.0,0.0,-0.5423
134669,slap,0.0,1.0,0.1531
135091,fatal,1.0,0.0,-0.5423
137636,bankrupt,1.0,0.0,-0.5574
137722,romantic,0.0,1.0,0.4019
137858,gratin,0.0,1.0,0.1027
139035,discard,1.0,0.0,-0.25
139218,dumbstruck,1.0,0.0,-0.25
139561,rage,1.0,0.0,-0.5574
140178,deceit,1.0,0.0,-0.4588
140464,banish,1.0,0.0,-0.4404
140674,gloom,1.0,0.0,-0.5574
140750,triumph,0.0,1.0,0.4767
141736,craze,1.0,0.0,-0.1531
141857,homesick,1.0,0.0,-0.1779
142349,smartest,0.0,1.0,0.6124
143019,vigor,0.0,1.0,0.2732
145511,merriment,0.0,1.0,0.5267
146796,lowlight,1.0,0.0,-0.4588
149503,smarten,0.0,1.0,0.4404
152855,vain,1.0,0.0,-0.4215
153228,amor,0.0,1.0,0.6124
153893,maddest,1.0,0.0,-0.5859
154716,bitter,1.0,0.0,-0.4215
156455,stamina,0.0,1.0,0.296
157463,resent,1.0,0.0,-0.1779
157729,zealous,0.0,1.0,0.128
158370,spam,1.0,0.0,-0.3612
158667,resign,1.0,0.0,-0.34
158812,nastiest,1.0,0.0,-0.5267
161085,wimp,1.0,0.0,-0.34
161086,hardier,1.0,0.0,-0.1531
161154,careless,1.0,0.0,-0.3612
161207,lowland,1.0,0.0,-0.0258
161694,feudal,1.0,0.0,-0.2023
161695,stronghold,0.0,1.0,0.128
